lag_1,lag_2,lag_3,lag_4,lag_96,rolling_std_4,bot_score
0.716957,0.723709,0.712176,0.721843,0.844457,0.00693170460036351,0.727746
0.727746,0.716957,0.723709,0.712176,0.833075,0.005602101093937982,0.716
0.716,0.727746,0.716957,0.723709,0.841589,0.12106903483653461,0.962138
0.962138,0.716,0.727746,0.716957,0.847112,0.12339593165193907,0.899435
0.899435,0.962138,0.716,0.727746,0.823227,0.10534713299848271,0.886825
0.886825,0.899435,0.962138,0.716,0.80699,0.039707865102520785,0.871772
0.871772,0.886825,0.899435,0.962138,0.822423,0.012072897839789296,0.877553
0.877553,0.871772,0.886825,0.899435,0.824729,0.012192519468919865,0.85772
0.85772,0.877553,0.871772,0.886825,0.816322,0.008816509981278944,0.863228
0.863228,0.85772,0.877553,0.871772,0.812179,0.008430975521847484,0.863972
0.863972,0.863228,0.85772,0.877553,0.827005,0.005301985123516694,0.852621
0.852621,0.863972,0.863228,0.85772,0.819797,0.009989364577722619,0.842863
0.842863,0.852621,0.863972,0.863228,0.817931,0.00960217178125139,0.844715
0.844715,0.842863,0.852621,0.863972,0.801041,0.008535718579396952,0.831907
0.831907,0.844715,0.842863,0.852621,0.807065,0.008221936688923315,0.827886
0.827886,0.831907,0.844715,0.842863,0.824244,0.007337721013139151,0.83177
0.83177,0.827886,0.831907,0.844715,0.823363,0.0022552984096710802,0.83306
0.83306,0.83177,0.827886,0.831907,0.803211,0.005137711682581154,0.840192
0.840192,0.83306,0.83177,0.827886,0.822119,0.006281840408404415,0.845155
0.845155,0.840192,0.83306,0.83177,0.799554,0.008518443221426234,0.825624
0.825624,0.845155,0.840192,0.83306,0.795639,0.008481473825344036,0.833394
0.833394,0.825624,0.845155,0.840192,0.794455,0.010474877198961794,0.821269
0.821269,0.833394,0.825624,0.845155,0.783256,0.005601980512877898,0.831755
0.831755,0.821269,0.833394,0.825624,0.802088,0.005685543128555425,0.825078
0.825078,0.831755,0.821269,0.833394,0.792391,0.006016388423852294,0.83438
0.83438,0.825078,0.831755,0.821269,0.774697,0.005924672895330515,0.821512
0.821512,0.83438,0.825078,0.831755,0.801481,0.005424527529348919,0.826975
0.826975,0.821512,0.83438,0.825078,0.803666,0.0103275617120724,0.845382
0.845382,0.826975,0.821512,0.83438,0.801162,0.01041726446417983,0.835412
0.835412,0.845382,0.826975,0.821512,0.794182,0.007689594197138376,0.832742
0.832742,0.835412,0.845382,0.826975,0.801269,0.008143119933416114,0.849965
0.849965,0.832742,0.835412,0.845382,0.803059,0.010012889805146146,0.852484
0.852484,0.849965,0.832742,0.835412,0.812513,0.009123466537817058,0.850071
0.850071,0.852484,0.849965,0.832742,0.78403,0.0018190774905619354,0.853637
0.853637,0.850071,0.852484,0.849965,0.832833,0.010220079496592559,0.872287
0.872287,0.853637,0.850071,0.852484,0.842438,0.012821702964765404,0.875338
0.875338,0.872287,0.853637,0.850071,0.826808,0.011078865235965235,0.878175
0.878175,0.875338,0.872287,0.853637,0.807581,0.01574152782451594,0.844153
0.844153,0.878175,0.875338,0.872287,0.821664,0.015468359684638226,0.863274
0.863274,0.844153,0.878175,0.875338,0.805624,0.01412951018259327,0.866658
0.866658,0.863274,0.844153,0.878175,0.819039,0.012236543112061255,0.843667
0.843667,0.866658,0.863274,0.844153,0.817612,0.011444681628745063,0.847234
0.847234,0.843667,0.866658,0.863274,0.812164,0.01556572791958892,0.876203
0.876203,0.847234,0.843667,0.866658,0.813151,0.014971527184960204,0.862591
0.862591,0.876203,0.847234,0.843667,0.825412,0.013978815743235767,0.847127
0.847127,0.862591,0.876203,0.847234,0.820374,0.012400642779039236,0.854851
0.854851,0.847127,0.862591,0.876203,0.823728,0.006933173702088819,0.860588
0.860588,0.854851,0.847127,0.862591,0.816444,0.006614754940031179,0.846885
0.846885,0.860588,0.854851,0.847127,0.813151,0.008726609975624544,0.867462
0.867462,0.846885,0.860588,0.854851,0.795578,0.009040892263303953,0.852454
0.852454,0.867462,0.846885,0.860588,0.801132,0.01002456326563258,0.865595
0.865595,0.852454,0.867462,0.846885,0.795077,0.007046775497819699,0.85734
0.85734,0.865595,0.852454,0.867462,0.802376,0.023060280287036414,0.90329
0.90329,0.85734,0.865595,0.852454,0.772193,0.02188174766024603,0.857659
0.857659,0.90329,0.85734,0.865595,0.7762,0.02174285744024191,0.867553
0.867553,0.857659,0.90329,0.85734,0.771784,0.02099399470285134,0.861119
0.861119,0.867553,0.857659,0.90329,0.769902,0.00629355174629859,0.85256
0.85256,0.861119,0.867553,0.857659,0.75585,0.008379461612578064,0.849009
0.849009,0.85256,0.861119,0.867553,0.765061,0.008086863230985765,0.866809
0.866809,0.849009,0.85256,0.861119,0.752603,0.008440406960962677,0.849176
0.849176,0.866809,0.849009,0.85256,0.764409,0.008494619409759803,0.858099
0.858099,0.849176,0.866809,0.849009,0.750129,0.00930166430896469,0.846247
0.846247,0.858099,0.849176,0.866809,0.765167,0.007553031025135933,0.862424
0.862424,0.846247,0.858099,0.849176,0.778309,0.011764597641511722,0.836444
0.836444,0.862424,0.846247,0.858099,0.777398,0.011933171148804426,0.837855
0.837855,0.836444,0.862424,0.846247,0.753012,0.022753107751103296,0.806823
0.806823,0.837855,0.836444,0.862424,0.776488,0.016060827728772646,0.841634
0.841634,0.806823,0.837855,0.836444,0.772846,0.019354881578471348,0.851695
0.851695,0.841634,0.806823,0.837855,0.779614,0.02474697364662307,0.864548
0.864548,0.851695,0.841634,0.806823,0.775228,0.009665784030106959,0.85731
0.85731,0.864548,0.851695,0.841634,0.773893,0.006704311218661698,0.84954
0.84954,0.85731,0.864548,0.851695,0.759795,0.016896826556092228,0.82564
0.82564,0.84954,0.85731,0.864548,0.791587,0.01430596689904789,0.834563
0.834563,0.82564,0.84954,0.85731,0.815397,0.012884551900110513,0.819995
0.819995,0.834563,0.82564,0.84954,0.860299,0.0060490587146514495,0.825154
0.825154,0.819995,0.834563,0.82564,0.846095,0.008767238233900718,0.839297
